iter	Passed	Remaining
0	77	77511
1	80	40145
2	83	27630
3	86	21580
4	89	17778
5	92	15278
6	95	13495
7	98	12206
8	102	11247
9	105	10425
10	108	9735
11	111	9199
12	115	8744
13	118	8348
14	121	7983
15	124	7652
16	126	7321
17	129	7064
18	132	6823
19	133	6558
20	135	6327
21	137	6115
22	139	5942
23	142	5805
24	144	5646
25	146	5475
26	147	5318
27	148	5163
28	149	5021
29	151	4883
30	152	4755
31	153	4635
32	154	4529
33	156	4433
34	157	4344
35	158	4245
36	159	4151
37	160	4063
38	161	3981
39	162	3904
40	163	3828
41	164	3756
42	165	3684
43	166	3620
44	167	3557
45	168	3493
46	169	3433
47	170	3377
48	171	3320
49	172	3270
50	174	3252
51	176	3209
52	177	3168
53	178	3131
54	179	3090
55	180	3050
56	181	3009
57	183	2976
58	184	2943
59	185	2910
60	186	2877
61	188	2846
62	189	2814
63	190	2780
64	191	2748
65	192	2720
66	193	2700
67	195	2673
68	196	2646
69	197	2621
70	198	2600
71	199	2575
72	201	2554
73	202	2530
74	203	2510
75	204	2492
76	206	2476
77	207	2456
78	208	2435
79	209	2412
80	210	2393
81	211	2373
82	213	2353
83	214	2334
84	214	2313
85	217	2310
86	218	2295
87	219	2279
88	220	2261
89	221	2242
90	222	2224
91	223	2208
92	224	2191
93	225	2175
94	226	2160
95	228	2151
96	230	2142
97	231	2128
98	232	2114
99	233	2099
100	234	2084
101	234	2065
102	236	2055
103	237	2042
104	238	2033
105	239	2020
106	241	2015
107	242	2005
108	243	1994
109	244	1981
110	246	1970
111	247	1960
112	248	1949
113	249	1937
114	250	1924
115	250	1911
116	252	1903
117	253	1896
118	254	1884
119	255	1874
120	256	1863
121	257	1853
122	258	1843
123	259	1833
124	260	1822
125	261	1811
126	262	1801
127	262	1788
128	264	1782
129	266	1781
130	267	1775
131	268	1768
132	269	1758
133	270	1749
134	272	1742
135	272	1733
136	273	1724
137	274	1714
138	275	1706
139	277	1703
140	279	1700
141	280	1691
142	281	1684
143	281	1675
144	282	1668
145	284	1661
146	285	1653
147	286	1647
148	287	1641
149	289	1638
150	290	1632
151	291	1626
152	292	1619
153	293	1612
154	294	1606
155	295	1599
156	296	1593
157	297	1586
158	298	1578
159	299	1572
160	301	1571
161	302	1565
162	303	1559
163	304	1553
164	305	1547
165	307	1545
166	308	1539
167	309	1532
168	310	1525
169	311	1518
170	313	1518
171	314	1515
172	315	1510
173	317	1504
174	318	1500
175	319	1495
176	320	1490
177	321	1486
178	323	1482
179	325	1482
180	326	1477
181	327	1473
182	328	1468
183	329	1462
184	330	1457
185	332	1453
186	334	1455
187	337	1455
188	338	1451
189	339	1446
190	340	1441
191	341	1436
192	342	1431
193	343	1428
194	345	1425
195	347	1423
196	352	1435
197	353	1430
198	354	1426
199	355	1421
200	357	1421
201	359	1419
202	360	1416
203	361	1411
204	362	1406
205	363	1401
206	364	1396
207	365	1391
208	366	1387
209	367	1383
