iter	Passed	Remaining
0	71	71752
1	73	36531
2	74	24791
3	75	18856
4	77	15328
5	78	12954
6	79	11256
7	80	9984
8	81	9006
9	83	8224
10	84	7609
11	86	7120
12	87	6655
13	88	6249
14	89	5901
15	91	5641
16	92	5371
17	94	5131
18	95	4913
19	96	4719
20	97	4542
21	98	4384
22	100	4247
23	101	4128
24	102	4015
25	104	3902
26	105	3802
27	106	3707
28	107	3614
29	109	3542
30	110	3461
31	111	3381
32	113	3312
33	114	3259
34	115	3195
35	117	3139
36	118	3082
37	119	3027
38	120	2974
39	121	2926
40	123	2880
41	124	2838
42	125	2795
43	126	2754
44	128	2725
45	129	2693
46	131	2659
47	132	2626
48	133	2592
49	134	2560
50	135	2530
51	137	2499
52	138	2472
53	139	2444
54	140	2418
55	142	2393
56	143	2376
57	145	2357
58	146	2334
59	147	2311
60	148	2289
61	149	2267
62	151	2248
63	152	2229
64	153	2209
65	154	2190
66	155	2170
67	157	2156
68	158	2140
69	159	2124
70	161	2111
71	162	2097
72	163	2082
73	165	2066
74	166	2050
75	167	2035
76	168	2021
77	169	2007
78	171	1994
79	172	1984
80	174	1974
81	175	1963
82	176	1944
83	177	1933
84	178	1922
85	179	1910
86	181	1900
87	182	1888
88	183	1876
89	184	1865
90	185	1854
91	187	1845
92	188	1837
93	189	1830
94	191	1823
95	192	1813
96	193	1805
97	195	1794
98	196	1785
99	197	1776
100	198	1766
101	199	1758
102	201	1753
103	202	1748
104	204	1739
105	205	1731
106	206	1723
107	207	1714
108	208	1706
109	209	1698
110	210	1689
111	212	1681
112	213	1673
113	214	1664
114	215	1658
115	216	1653
116	217	1644
117	219	1638
118	220	1632
119	221	1624
120	222	1618
121	223	1610
122	224	1603
123	225	1596
124	226	1588
125	228	1582
126	229	1574
127	230	1569
128	232	1567
129	233	1561
130	234	1555
131	235	1549
132	236	1543
133	237	1537
134	238	1530
135	240	1525
136	241	1519
137	242	1513
138	243	1507
139	244	1503
140	246	1499
141	247	1492
142	248	1488
143	249	1484
144	250	1479
145	252	1474
146	253	1469
147	254	1464
148	255	1459
149	256	1454
150	257	1449
151	259	1446
152	260	1443
153	262	1440
154	263	1435
155	264	1431
156	265	1426
157	266	1421
158	267	1417
159	269	1412
160	269	1406
161	271	1402
162	272	1397
163	273	1393
164	274	1390
165	276	1387
166	277	1385
167	279	1383
168	280	1380
169	281	1376
170	283	1372
171	284	1368
172	285	1364
173	286	1360
174	287	1356
175	289	1355
176	290	1352
177	292	1348
178	293	1345
179	294	1341
180	295	1337
181	296	1333
182	297	1330
183	299	1326
184	300	1321
185	301	1317
186	302	1313
187	303	1311
188	304	1308
189	306	1304
190	307	1301
191	308	1299
192	310	1296
193	311	1292
194	312	1289
195	313	1286
196	314	1282
197	315	1279
198	317	1276
199	318	1274
200	319	1271
201	321	1268
202	322	1265
203	323	1262
204	324	1259
205	325	1255
206	327	1252
207	328	1250
208	329	1246
209	330	1243
210	331	1239
211	332	1237
212	334	1234
213	335	1231
214	336	1228
215	337	1226
216	339	1223
217	340	1220
218	341	1217
219	342	1214
220	343	1211
221	344	1208
222	345	1205
223	347	1204
224	349	1202
225	350	1199
226	351	1196
227	352	1193
228	353	1190
229	354	1188
230	356	1185
231	357	1182
232	358	1179
233	359	1176
234	360	1173
235	361	1171
236	363	1169
237	364	1166
238	365	1164
239	367	1162
240	368	1161
241	369	1158
242	371	1156
243	372	1154
244	373	1152
245	375	1149
246	376	1148
247	378	1146
248	379	1144
249	381	1143
250	382	1141
251	383	1138
252	384	1136
253	386	1134
254	387	1131
255	388	1128
256	389	1126
257	391	1124
258	392	1122
259	393	1120
260	395	1118
261	396	1117
262	398	1115
263	399	1113
264	400	1110
265	401	1108
266	403	1108
267	405	1108
268	407	1107
269	408	1105
270	410	1103
271	411	1101
272	412	1099
273	414	1097
274	415	1095
275	416	1092
276	417	1090
277	419	1088
278	420	1087
279	422	1085
280	423	1083
281	424	1081
282	425	1079
283	427	1077
284	428	1075
285	429	1073
286	431	1071
287	432	1068
288	433	1066
289	434	1064
290	436	1062
291	437	1060
292	438	1058
293	439	1056
294	441	1054
295	442	1051
296	443	1049
297	444	1047
298	445	1045
299	447	1043
300	448	1041
301	449	1039
302	451	1037
303	452	1035
304	453	1033
305	455	1032
306	456	1031
307	458	1029
308	459	1026
309	460	1024
310	461	1022
311	463	1021
312	464	1020
313	466	1018
314	467	1016
315	469	1015
316	470	1014
317	471	1012
318	473	1009
319	474	1007
320	475	1005
321	476	1003
322	478	1002
323	479	1001
324	481	999
325	482	997
326	483	996
327	485	994
328	486	991
329	487	989
330	488	987
331	489	985
332	490	982
333	492	981
334	494	980
335	495	978
336	496	977
337	497	975
338	499	973
339	500	971
340	506	977
341	507	977
342	509	975
343	510	973
344	511	972
345	513	970
346	514	968
347	516	967
348	517	965
349	518	962
350	519	960
351	520	958
352	522	957
353	523	955
354	525	954
355	526	952
356	527	950
357	528	947
358	529	946
359	531	944
360	532	942
361	533	939
362	534	937
363	535	935
364	536	934
365	538	932
366	539	930
367	540	928
368	542	927
369	543	925
370	544	923
371	546	921
372	547	919
373	548	917
374	549	915
375	550	914
376	552	912
377	553	910
378	554	908
379	555	906
380	557	905
381	558	903
382	559	901
383	560	899
384	561	897
385	562	895
386	563	893
387	565	891
388	566	890
389	567	888
390	569	886
391	570	885
392	571	883
393	573	881
394	574	879
395	575	877
396	576	875
397	577	873
398	578	871
399	580	870
400	581	868
401	582	867
402	584	865
403	585	863
404	586	861
405	587	859
406	588	857
407	590	856
408	591	854
409	592	852
410	593	850
411	594	848
412	596	847
413	597	845
414	598	844
415	600	842
416	601	840
417	602	838
418	603	837
419	604	835
420	605	833
421	607	831
422	608	829
423	610	829
424	611	827
425	613	826
426	614	824
427	615	823
428	617	821
429	618	819
430	619	818
431	621	816
432	622	814
433	623	813
434	625	812
435	626	810
436	628	809
437	629	807
438	630	805
439	631	804
440	632	802
441	634	800
442	635	798
443	636	797
444	638	795
445	639	794
446	641	793
447	642	791
448	643	790
449	645	788
450	646	787
451	647	785
452	648	783
453	649	781
454	651	780
455	652	778
456	654	777
457	655	775
458	657	774
459	658	773
460	659	771
461	660	769
462	661	767
463	663	765
464	668	769
465	670	768
466	672	767
467	673	765
468	674	763
469	675	762
470	677	760
471	678	758
472	679	757
473	680	755
474	682	753
475	683	752
476	684	750
477	686	749
478	687	747
479	689	746
480	690	744
481	691	743
482	692	741
483	693	739
484	695	738
485	696	736
486	697	735
487	699	733
488	700	732
489	701	730
490	703	728
491	704	727
492	705	725
493	706	723
494	709	724
495	710	722
496	712	720
497	713	719
498	715	718
499	716	716
500	718	715
501	719	713
502	720	711
503	721	710
504	722	708
505	724	706
506	725	705
507	727	704
508	728	703
509	730	701
510	731	700
511	733	698
512	734	697
513	735	695
514	736	693
515	738	692
516	739	690
517	740	689
518	742	687
519	743	686
520	745	684
521	746	683
522	747	681
523	748	680
524	750	678
525	751	677
526	753	676
527	755	675
528	757	674
529	759	673
530	761	672
531	762	670
532	763	669
533	765	667
534	766	666
535	767	664
536	770	664
537	773	664
538	775	663
539	777	662
540	778	660
541	779	658
542	780	657
543	782	655
544	784	655
545	787	654
546	789	653
547	790	652
548	792	650
549	793	649
550	794	647
551	796	646
552	797	644
553	800	644
554	802	643
555	803	641
556	805	640
557	806	638
558	807	636
559	808	635
560	810	634
561	811	632
562	813	631
563	816	631
564	818	630
565	820	628
566	821	627
567	823	625
568	824	624
569	825	623
570	827	621
571	829	620
572	832	620
573	833	618
574	835	617
575	836	616
576	838	614
577	840	613
578	841	611
579	843	610
580	845	609
581	848	609
582	849	607
583	850	606
584	852	604
585	853	603
586	854	601
587	856	600
588	858	598
589	862	599
590	863	597
591	865	596
592	866	594
593	867	592
594	868	591
595	870	590
596	873	589
597	876	588
598	877	587
599	878	585
600	880	584
601	881	582
602	882	580
603	883	579
604	887	579
605	889	578
606	891	577
607	892	575
608	894	574
609	895	572
610	896	570
611	898	569
612	901	569
613	904	568
614	905	566
615	907	565
616	908	563
617	909	562
618	911	560
619	912	559
620	915	558
621	918	558
622	919	556
623	921	555
624	922	553
625	924	552
626	925	550
627	926	548
628	928	547
629	930	546
630	933	545
631	934	544
632	936	542
633	937	541
634	938	539
635	940	538
636	941	536
637	942	534
638	945	534
639	947	532
640	949	531
641	950	529
642	951	528
643	952	526
644	954	525
645	955	523
646	959	523
647	961	522
648	962	520
649	964	519
650	966	518
651	967	516
652	974	518
653	978	517
654	980	516
655	982	515
656	984	514
657	987	513
658	990	512
659	991	510
660	992	509
661	994	507
662	995	505
663	996	504
664	998	502
665	1001	502
666	1003	501
667	1005	499
668	1007	498
669	1008	496
670	1010	495
671	1012	494
672	1013	492
673	1017	492
674	1019	490
675	1020	489
676	1022	487
677	1024	486
678	1026	485
679	1028	483
680	1032	483
681	1033	482
682	1035	480
683	1037	479
684	1039	478
685	1040	476
686	1042	474
687	1045	474
688	1048	473
689	1050	471
690	1051	470
691	1054	469
692	1056	467
693	1057	466
694	1064	467
695	1067	466
696	1069	465
697	1072	464
698	1074	462
699	1078	462
700	1083	462
701	1085	460
702	1087	459
703	1091	459
704	1094	458
705	1096	456
706	1099	455
707	1101	454
708	1102	452
709	1107	452
710	1109	451
711	1111	449
712	1113	448
713	1115	446
714	1116	445
715	1119	443
716	1121	442
717	1122	441
718	1124	439
719	1126	438
720	1128	436
721	1131	435
722	1133	434
723	1135	433
724	1137	431
725	1139	429
726	1140	428
727	1142	426
728	1144	425
729	1145	423
730	1148	422
731	1151	421
732	1154	420
733	1155	418
734	1157	417
735	1158	415
736	1160	413
737	1162	412
738	1166	411
739	1167	410
740	1169	408
741	1171	407
742	1173	405
743	1180	406
744	1182	404
745	1184	403
746	1185	401
747	1187	400
748	1189	398
749	1192	397
750	1195	396
751	1197	394
752	1199	393
753	1202	392
754	1203	390
755	1205	389
756	1208	388
757	1211	386
758	1212	385
759	1214	383
760	1216	382
761	1218	380
762	1220	378
763	1224	378
764	1227	377
765	1229	375
766	1231	374
767	1233	372
768	1238	372
769	1243	371
770	1244	369
771	1246	368
